Site,date,FSC_dry,FSC_carbon,FSC_nitrogen,FSC_fraction_canopy,Frond_density,Plant_density,Surface_Irradiance,Bottom_Irradiance,Subsurface_Irradiance,Plant_loss_rate,Frond_loss_rate,Cut_frond_loss_rate,Blade_loss_rate,Dissolved_loss_rate,Carbon_lost_as_plants,Carbon_lost_as_fronds,Carbon_lost_as_cut_fronds,Carbon_lost_as_blades,Carbon_lost_as_dissolved,SE_FSC_dry,SE_FSC_carbon,SE_FSC_nitrogen,SE_FSC_fraction_canopy,SE_frond_density,SE_plant_density,SE_plant_loss_rate,SE_frond_loss_rate,SE_cut_frond_loss_rate,SE_blade_loss_rate,SE_dissolved_loss_rate,SE_carbon_lost_as_plants,SE_carbon_lost_as_fronds,SE_carbon_lost_as_cut_fronds,SE_carbon_lost_as_blades,SE_carbon_lost_as_dissolved
ABUR,2002-05-10,1.0929264617,0.2174719576,0.0227319785,0.5456466238,8.5125,0.26875,794.38774241,23.638397402,167.03014664,-99999,-99999,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0.1511036333,0.0345964121,0.0049337428,0.0132038238,1.0324258768,0.0269283276,-99999,-99999,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999
ABUR,2002-06-12,1.115681165,0.3510262613,0.0273093068,0.5564014845,7.2333333333,0.26875,843.52461718,26.010080769,173.5798378,0,0.0154740686,0.0004724036,0.0125938563,0.0041306245,0,0.0043163466,0.0001317726,0.0035129383,0.001152199,0.1659703468,0.0575999947,0.0061644949,0.0171340152,0.9773975481,0.0284652821,0,0.0048544704,0.0000987505,0.0010173395,0.000304502,0,0.0014444024,0.0000332648,0.0004846329,0.0001322367
ABUR,2002-07-12,0.950074044,0.2806377414,0.0165383043,0.6202126252,5.525,0.15,813.95385507,24.677293229,165.64032973,0,0.0092633979,0,0.0129163846,0.003499495,0,0.0029135274,0,0.0040624661,0.0011006625,0.1563662746,0.0489898205,0.0038014281,0.0185414774,0.7300897129,0.0146705064,0,0.0029073356,0,0.0011322028,0.0002618085,0,0.0009745805,0,0.0006001897,0.0001388529
ABUR,2002-08-09,1.2837070341,0.4045937697,0.0295740755,0.5562421477,8.2520833333,0.2291666667,805.0700718,35.863879455,178.5611042,0,0.0061436487,0,0.012847818,0.0034788649,0,0.0020817469,0,0.0043534236,0.0011787973,0.1822446888,0.0644071992,0.006305827,0.0145544948,0.9860037543,0.0226421804,0.0001189926,0.0018566166,0,0.0011294231,0.0002421335,0.0000363234,0.0006731382,0,0.0006507081,0.0001443318
ABUR,2002-09-10,0.9682005631,0.28225818,0.0197191652,0.5860706146,6.1979166667,0.1541666667,760.31545852,37.637409053,172.57713073,0,0.0114815309,0,0.0127460412,0.0033347844,0,0.0039010016,0,0.0043306356,0.001133037,0.1667095019,0.0528900522,0.0046897197,0.0152092772,0.9198994302,0.0200974207,0,0.0035737788,0,0.0010948023,0.0002304694,0,0.0012817018,0,0.0006349954,0.0001428049
ABUR,2002-10-11,1.5680620251,0.3899799372,0.0364349903,0.5719914844,10.327083333,0.2958333333,683.46782378,46.893444113,165.46170986,0,0.0109211128,0.0000120958,0.0126760545,0.0036329323,0,0.0036391566,4.0306025E-6,0.004223942,0.0012105735,0.215565881,0.0594399294,0.0075162539,0.0123218205,1.2245010684,0.0314709836,0,0.0032067561,3.9543284E-6,0.0010982025,0.0002612735,0,0.0011390162,1.4059367E-6,0.0006247511,0.0001495902
ABUR,2002-11-21,0.3058609151,0.0812633192,0.0067413725,0.4737244334,2.4666666667,0.0979166667,579.96236166,40.980683772,139.43552109,0.0086993889,0.0254228444,0.0002816549,0.0121700508,0.0034095329,0.0017123469,0.0050041136,0.0000554396,0.0023954958,0.0006711165,0.0519602309,0.0152993072,0.0015431283,0.0262214661,0.3464210076,0.0102803983,0.005650414,0.0077779545,0.0001027228,0.0009703563,0.0002613839,0.0011526221,0.0016215453,0.0000205863,0.0003671621,0.0000867108
ABUR,2002-12-09,0.4235980579,0.1103193182,0.0079310516,0.5707782281,2.7166666667,0.1,534.23115005,26.406389668,128.11261478,0,0.0144765686,0,0.0121109294,0.0030565806,0,0.0013760312,0,0.0011511718,0.000290535,0.0719416117,0.0204102294,0.0018280738,0.0205243557,0.3634121712,0.0106480173,0.0002616393,0.0043859268,0,0.0010269304,0.0002327602,0.0000291734,0.0004551503,0,0.0001833148,0.0000389987
ABUR,2003-01-16,0.0708086093,0.0174765035,0.0013614062,0.4996896163,0.4833333333,0.0104166667,511.87024523,13.826854298,107.72251012,0.0316834949,0.0223967184,0,0.0124658502,0.0030742459,0.0015964994,0.0011285481,0,0.0006281416,0.0001549082,0.0220788307,0.005572067,0.0004781399,0.0557851287,0.1155544881,0.001447488,0.0140612576,0.006423048,0,0.001049117,0.000252435,0.0007505325,0.000370922,0,0.0001184768,0.0000263418
ABUR,2003-02-18,0.1242298524,0.0341408583,0.0019447891,0.4918760178,0.8520833333,0.0125,563.53925397,12.30945132,111.30807776,0.0055248957,0.0152207513,0,0.0122451013,0.0029829276,0.0001374905,0.000378778,0,0.0003047271,0.000074232,0.0377452323,0.0108421751,0.0006780375,0.0479442518,0.2135051916,0.002032553,0.0040893356,0.0046493888,0,0.000975591,0.0002417361,0.0001071033,0.0001425995,0,0.0000731509,0.0000173453
